epoch,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,epoch_min_val_loss,correlation_all,correlation_top3
final,Model-10,Model-07,Model-03,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,,,
epoch_1,Model-10,Model-05,Model-03,Model-01,Model-02,Model-07,Model-04,Model-08,Model-06,Model-09,1.2836026060581207,0.296969696969697,0.4999999999999999
epoch_2,Model-03,Model-06,Model-08,Model-07,Model-05,Model-01,Model-04,Model-02,Model-09,Model-10,1.1956089305877686,0.296969696969697,-0.9999999999999998
epoch_3,Model-10,Model-03,Model-05,Model-04,Model-01,Model-02,Model-08,Model-06,Model-07,Model-09,1.174078887104988,0.1393939393939394,0.4999999999999999
epoch_4,Model-04,Model-03,Model-08,Model-06,Model-10,Model-02,Model-05,Model-01,Model-07,Model-09,1.1501090097427369,-0.030303030303030304,-0.4999999999999999
epoch_5,Model-07,Model-10,Model-03,Model-04,Model-08,Model-02,Model-06,Model-05,Model-01,Model-09,1.119525315761566,0.5757575757575758,0.4999999999999999
epoch_6,Model-10,Model-03,Model-07,Model-06,Model-04,Model-08,Model-05,Model-02,Model-01,Model-09,1.0616380298137664,0.7575757575757576,0.4999999999999999
epoch_7,Model-07,Model-10,Model-03,Model-08,Model-06,Model-04,Model-02,Model-09,Model-01,Model-05,1.0185962998867035,0.7454545454545455,0.4999999999999999
epoch_8,Model-10,Model-07,Model-08,Model-03,Model-02,Model-06,Model-05,Model-09,Model-01,Model-04,0.9918469297885895,0.8303030303030303,0.9999999999999998
epoch_9,Model-10,Model-03,Model-07,Model-06,Model-08,Model-02,Model-05,Model-09,Model-04,Model-01,1.0086786085367203,0.8909090909090909,0.4999999999999999
epoch_10,Model-06,Model-07,Model-10,Model-05,Model-04,Model-03,Model-02,Model-01,Model-08,Model-09,1.0345437669754027,0.5151515151515151,0.4999999999999999
epoch_11,Model-10,Model-07,Model-08,Model-03,Model-06,Model-02,Model-04,Model-05,Model-01,Model-09,0.9927168163657188,0.7696969696969697,0.9999999999999998
epoch_12,Model-10,Model-03,Model-07,Model-04,Model-06,Model-08,Model-09,Model-02,Model-05,Model-01,1.0007878598570823,0.6727272727272727,0.4999999999999999
epoch_13,Model-08,Model-10,Model-07,Model-06,Model-03,Model-05,Model-09,Model-02,Model-01,Model-04,0.9880191934108734,0.8545454545454545,0.9999999999999998
epoch_14,Model-10,Model-07,Model-08,Model-09,Model-03,Model-06,Model-05,Model-02,Model-01,Model-04,0.9466194486618043,0.8545454545454545,0.9999999999999998
epoch_15,Model-08,Model-07,Model-03,Model-06,Model-09,Model-05,Model-02,Model-01,Model-04,Model-10,0.9979133003950119,0.3575757575757576,-0.4999999999999999
epoch_16,Model-10,Model-08,Model-03,Model-07,Model-06,Model-05,Model-01,Model-09,Model-02,Model-04,0.9841262571513653,0.9030303030303031,0.4999999999999999
epoch_17,Model-10,Model-03,Model-07,Model-08,Model-09,Model-06,Model-05,Model-01,Model-02,Model-04,0.9635075771808624,0.9272727272727272,0.4999999999999999
epoch_18,Model-10,Model-03,Model-08,Model-06,Model-07,Model-09,Model-04,Model-02,Model-05,Model-01,0.9828605443239212,0.7696969696969697,0.4999999999999999
epoch_19,Model-10,Model-03,Model-07,Model-08,Model-06,Model-05,Model-09,Model-01,Model-02,Model-04,0.9662783804535866,0.9757575757575757,0.4999999999999999
epoch_20,Model-07,Model-03,Model-08,Model-10,Model-05,Model-09,Model-06,Model-02,Model-04,Model-01,0.9629161220788955,0.806060606060606,-0.4999999999999999
epoch_21,Model-03,Model-07,Model-10,Model-06,Model-02,Model-08,Model-05,Model-01,Model-09,Model-04,0.9741081783175468,0.8181818181818182,-0.9999999999999998
epoch_22,Model-03,Model-10,Model-08,Model-06,Model-09,Model-02,Model-07,Model-05,Model-01,Model-04,0.9416136991977692,0.6848484848484848,-0.4999999999999999
epoch_23,Model-07,Model-10,Model-03,Model-05,Model-06,Model-09,Model-01,Model-02,Model-04,Model-08,0.9581918266415596,0.7818181818181819,0.4999999999999999
epoch_24,Model-05,Model-08,Model-03,Model-07,Model-10,Model-09,Model-02,Model-01,Model-06,Model-04,1.0071960580348969,0.4909090909090909,-0.9999999999999998
epoch_25,Model-10,Model-03,Model-05,Model-07,Model-01,Model-08,Model-06,Model-02,Model-09,Model-04,0.9169374485313893,0.7696969696969697,0.4999999999999999
epoch_26,Model-07,Model-08,Model-03,Model-06,Model-10,Model-05,Model-09,Model-01,Model-02,Model-04,0.9691901874542236,0.8424242424242424,-0.4999999999999999
epoch_27,Model-10,Model-03,Model-06,Model-08,Model-07,Model-02,Model-05,Model-01,Model-09,Model-04,0.9000673896074295,0.8424242424242424,0.4999999999999999
epoch_28,Model-07,Model-08,Model-10,Model-09,Model-05,Model-01,Model-02,Model-03,Model-06,Model-04,0.9129380959272385,0.503030303030303,0.4999999999999999
epoch_29,Model-10,Model-07,Model-05,Model-06,Model-09,Model-03,Model-01,Model-08,Model-02,Model-04,0.9113058495521545,0.806060606060606,0.9999999999999998
epoch_30,Model-10,Model-08,Model-09,Model-05,Model-06,Model-03,Model-07,Model-02,Model-04,Model-01,0.9120783197879792,0.5757575757575758,0.4999999999999999
epoch_31,Model-03,Model-07,Model-10,Model-05,Model-06,Model-02,Model-08,Model-09,Model-01,Model-04,0.9031233336031437,0.8303030303030303,-0.9999999999999998
epoch_32,Model-07,Model-06,Model-08,Model-05,Model-09,Model-10,Model-03,Model-02,Model-01,Model-04,0.932771066725254,0.6363636363636364,0.4999999999999999
epoch_33,Model-07,Model-03,Model-10,Model-02,Model-06,Model-05,Model-09,Model-01,Model-08,Model-04,0.9023761028051376,0.7090909090909091,-0.4999999999999999
epoch_34,Model-10,Model-03,Model-06,Model-07,Model-05,Model-09,Model-08,Model-02,Model-01,Model-04,0.9205336508154869,0.9151515151515152,0.4999999999999999
epoch_35,Model-07,Model-03,Model-10,Model-05,Model-09,Model-04,Model-01,Model-06,Model-02,Model-08,0.8992444062232972,0.5636363636363636,-0.4999999999999999
epoch_36,Model-03,Model-07,Model-10,Model-06,Model-09,Model-05,Model-02,Model-01,Model-04,Model-08,0.9052483968436718,0.7454545454545455,-0.9999999999999998
epoch_37,Model-03,Model-10,Model-07,Model-09,Model-05,Model-06,Model-08,Model-02,Model-01,Model-04,0.9313213285803795,0.8424242424242424,-0.4999999999999999
epoch_38,Model-07,Model-10,Model-06,Model-03,Model-09,Model-05,Model-02,Model-08,Model-04,Model-01,0.8836104157567024,0.8424242424242424,0.4999999999999999
epoch_39,Model-07,Model-10,Model-03,Model-08,Model-05,Model-09,Model-02,Model-06,Model-01,Model-04,0.8915003615617753,0.8424242424242424,0.4999999999999999
epoch_40,Model-07,Model-10,Model-08,Model-03,Model-06,Model-05,Model-09,Model-02,Model-01,Model-04,0.933168985247612,0.9393939393939394,0.4999999999999999
epoch_41,Model-10,Model-03,Model-07,Model-06,Model-09,Model-05,Model-08,Model-02,Model-01,Model-04,0.8712502413988114,0.9272727272727272,0.4999999999999999
epoch_42,Model-10,Model-06,Model-07,Model-08,Model-05,Model-01,Model-09,Model-02,Model-03,Model-04,0.9298260632902384,0.7090909090909091,0.9999999999999998
epoch_43,Model-10,Model-06,Model-03,Model-05,Model-01,Model-09,Model-07,Model-02,Model-04,Model-08,0.8729211901128292,0.5757575757575758,0.4999999999999999
epoch_44,Model-07,Model-03,Model-10,Model-09,Model-06,Model-05,Model-08,Model-01,Model-02,Model-04,0.9146355147659778,0.8787878787878788,-0.4999999999999999
epoch_45,Model-07,Model-06,Model-08,Model-10,Model-03,Model-09,Model-05,Model-01,Model-02,Model-04,0.9156782451272011,0.8545454545454545,0.4999999999999999
epoch_46,Model-10,Model-03,Model-07,Model-06,Model-08,Model-05,Model-02,Model-09,Model-04,Model-01,0.9107845924049616,0.9272727272727272,0.4999999999999999
epoch_47,Model-03,Model-07,Model-10,Model-08,Model-09,Model-04,Model-01,Model-02,Model-05,Model-06,0.8909745274484158,0.5393939393939394,-0.9999999999999998
epoch_48,Model-10,Model-07,Model-05,Model-08,Model-03,Model-09,Model-01,Model-06,Model-02,Model-04,0.8940632756054402,0.806060606060606,0.9999999999999998
epoch_49,Model-10,Model-08,Model-03,Model-06,Model-04,Model-02,Model-05,Model-07,Model-09,Model-01,0.8601553133130073,0.4666666666666667,0.4999999999999999
epoch_50,Model-10,Model-03,Model-06,Model-07,Model-09,Model-01,Model-05,Model-04,Model-02,Model-08,0.9088737132400274,0.7333333333333333,0.4999999999999999
epoch_51,Model-10,Model-03,Model-09,Model-08,Model-07,Model-06,Model-05,Model-01,Model-02,Model-04,0.8807217170670628,0.806060606060606,0.4999999999999999
epoch_52,Model-10,Model-03,Model-08,Model-07,Model-06,Model-05,Model-09,Model-01,Model-02,Model-04,0.9020059975981712,0.9393939393939394,0.4999999999999999
epoch_53,Model-10,Model-03,Model-07,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.9001458722352982,0.9878787878787879,0.4999999999999999
epoch_54,Model-10,Model-03,Model-07,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.934799614045769,0.9878787878787879,0.4999999999999999
epoch_55,Model-10,Model-07,Model-03,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.9966994743421673,1.0,0.9999999999999998
epoch_56,Model-10,Model-07,Model-03,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.9142456858605147,1.0,0.9999999999999998
